Unit,,g,kg CO2 eq,kg CFC11 eq,kBq U-235 eq,kg NMVOC eq,disease inc.,CTUh,CTUh,mol H+ eq,kg P eq,kg N eq,mol N eq,CTUe,Pt,m3 depriv.,MJ,kg Sb eq,mPt,,,,mPt,kg CO2 eq
Food item in AGB 3.1 (SimaPro name),Food item in AGB 3.1 (short name),Serving size (g),Climate change per kg,Ozone depletion,Ionising radiation,Photochemical ozone formation,Particulate matter,"Human toxicity, non-cancer","Human toxicity, cancer",Acidification,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Ecotoxicity, freshwater",Land use,Water use,"Resource use, fossils","Resource use, minerals and metals",Single score per kg,CIQUAL code,Food group,Food sub group,Single score per serving,Climate change per serving
"Orange juice, reconstituted from a concentrate, processed in FR | Ambient (long) | PET | at supermarket {FR} S","Orange juice, reconstituted from a concentrate",240,1.093723557,4.03E-07,0.154306714,0.00495615,1.28E-07,7.20E-08,2.85E-09,0.011043409,0.000812275,0.016193641,0.038899894,79.65708941,33.02118741,-23.12796747,14.57173564,1.53E-05,0.024239007,2012,beverages,non-alcoholic beverages,0.005817362,0.262493654
"Orange nectar, processed in FR | Ambient (long) | Cardboard | at supermarket {FR} S",Orange nectar,240,0.780921808,9.47E-08,0.181983803,0.003281376,8.77E-08,4.08E-08,1.66E-09,0.007396305,0.000502716,0.009492927,0.026276999,45.50273147,24.4343073,-12.70819502,11.81506284,5.63E-06,0.02970635,2375,beverages,non-alcoholic beverages,0.007129524,0.187421234
"Sweet potato, raw, processed in FR | Ambient (average) | No packaging | at supermarket {FR} S","Sweet potato, raw",110,0.247607661,4.12E-08,0.049211054,0.000817447,2.05E-08,9.17E-09,2.39E-10,0.001895117,3.58E-05,0.000987883,0.007127126,3.300549594,17.68045711,0.5807057,3.553493085,1.31E-06,0.031687916,4101,"fruits, vegetables, legumes and oilseeds",Potatoes and other tubers,0.003485671,0.027236843
"Mineral sparkling water (Arcens), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Arcens), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76006,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Ardesy), bottled, strongly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Ardesy), bottled, strongly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76007,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Aziac), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Aziac), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76002,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Badoit), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Badoit), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76061,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Chateauneuf), bottled, strongly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Chateauneuf), bottled, strongly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76013,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Chateldon), bottled, strongly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Chateldon), bottled, strongly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76014,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Cilaos), bottled, strongly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Cilaos), bottled, strongly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76083,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Didier), bottled, strongly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Didier), bottled, strongly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76018,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Hydroxydase), bottled, strongly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Hydroxydase), bottled, strongly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76023,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Nessel), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Nessel), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76088,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Ogeu), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Ogeu), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76089,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Orezza), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Orezza), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76030,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Parot), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Parot), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76031,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Perrier), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Perrier), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76060,beverages,water,0.008254735,0.057903434
